Pillar,Method / Feature,Entry-point file,Runs?,Faithful?,Audit / fix status
Recover (weight-space),apply_ctheta + _from_state_dicts + sweep_ctheta_strength,recover/ctheta.py,✅,✅,— (no fix; already faithful)
Recover (weight-space),apply_prepost_merge,recover/merge.py,✅,✅,NEW — arXiv:2412.19512; zero-data safety recovery: θ = (1-α)θ_post + α·θ_pre
Recover (weight-space),task_arithmetic,recover/merge.py,✅,✅,🟡→✅ — gold-standard re-check: arithmetic identical to upstream `TaskVector.apply_to` (`θ_ft + α·(θ_aligned − θ_base)`)
Recover (weight-space),somf_merge,recover/merge.py,✅,🟠,"Yi et al. 2024 arXiv:2405.09055 — simplified/variant, not the paper's exact algorithm: the default uses a magnitude top-quantile mask, not the paper's learned DPO/Concrete mask (faithful only if you pass a mask from `learn_somf_mask`)"
Recover (weight-space),apply_safemerge,recover/safemerge.py,✅,✅,🟡→✅ — `fix/safemerge.md`
Recover (weight-space),apply_resta,recover/resta.py,✅,✅,🟡→✅ — `fix/resta.md`: DARE drop-and-rescale added (`dare=False` preserves old path)
Recover (weight-space),apply_lox,recover/lox.py,⚠️ env-OOM,✅,🟠→✅ — `fix/lox.md`: correct aligned-model base point + `(λ−1)` coefficient
Recover (weight-space),apply_safe_lora,recover/safe_lora.py,✅,✅,"🔴→✅ — `fix/safe_lora.md`: alignment projection matrix `C`, cosine-τ gate, LoRA-update projection"
Recover (weight-space),apply_safe_delta,recover/safe_delta.py,✅,🟡,"🔴→🟡 — faithful post-hoc OBS delta edit (per-entry importance/safety-loss surrogate, OBS error-compensation sweep, `importance_drop=0.15`, `scale=rows/4096` all match `adjust_delta`), BUT simplified: a single GLOBAL keep-mask/safety-loss budget vs upstream's per-block (`blocksize=2048`) budgeted selection — different entries kept and ~2× budget scale. Algorithmically correct; not a line-for-line port"
Recover (weight-space),apply_antidote,recover/antidote.py,✅ (logger fixed),✅,🔴→🟡→✅ — gold-standard re-check: SafeTune's `largest=True` topk is correct per paper; upstream bug (prunes lowest-WANDA instead of highest) does not affect SafeTune
Recover (weight-space),apply_mscp,recover/mscp.py,✅,✅,🟠→🟡→✅ — default `coefficient` corrected 0.1→1.0 (paper Eq. 7 is a full replacement); the `Dim(D)` denominator is a genuine paper ambiguity (we use `numel(D)=out×in`; a single-axis covariance-style `/in` reading is also defensible and would scale `W_safe` by `out`) — its absolute scale is absorbed by `coefficient`; neuron-mask localisation correctly delegated to caller
